title,publisher,author,year
"Numerical Methods Using Java: For Data Science, Analysis, and Engineering",Apress,"Haksun Li, PhD",2022
"Statistics with Julia: Fundamentals for Data Science, Machine Learning and Artificial Intelligence (Springer Series in the Data Sciences)",Springer,"Yoni Nazarathy, Hayden Klok",2021
Data science and complex networks : real cases studies with Python,Oxford University Press,"Caldarelli, Guido, Chessa, Alessandro",2016
Principles Of Managerial Statistics And Data Science,John Wiley & Sons,Roberto Rivera,2020
Beginning Data Science with R,Springer International Publishing,Manas A. Pathak (auth.),2014
Applied Data Science Using PySpark: Learn the End-to-End Predictive Model-Building Cycle,Apress,"Ramcharan Kakarla, Sundar Krishnan, Sridhar Alla",2021
"Becoming a Data Head: How to Think, Speak, and Understand Data Science, Statistics, and Machine Learning",Wiley,"Alex J. Gutman, Jordan Goldmeier",2021
Python for Data Science,John Wiley & Sons,"Luca Massaron, John Paul Mueller",2019
Getting Started with Streamlit for Data Science: Create and deploy Streamlit web applications from scratch in Python,Packt Publishing,Tyler Richards,2021
Applied Data Science: Lessons Learned for the Data-Driven Business,Springer Nature Switzerland,"Martin Braschler, Thilo Stadelmann, Kurt Stockinger",2019
Data Science With Python And Dask,Manning Publications,Jesse C. Daniel,2019
Statistical Foundations Of Data Science,Chapman&Hall/CRC /Taylor & Francis Group,"Jianqing Fan, Runze Li, Cun-Hui Zhang, Hui Zou",2020
"Python Data Science Handbook, 2nd Edition","O'Reilly Media, Inc.",Jake VanderPlas,2022
Data Science For Wind Energy,Chapman And Hall/CRC,Yu Ding,2020
"Data Science Revealed: With Feature Engineering, Data Visualization, Pipeline Development, and Hyperparameter Tuning",Apress,Tshepo Chris Nokeri,2021
"Practitioner’s Guide to Data Science: Streamlining Data Science Solutions using Python, Scikit-Learn, and Azure ML Service",nan,", , , , ",2022
Sports Analytics and Data Science: Winning the Game with Methods and Models,Pearson FT Press,Thomas W. Miller,2015
Hands-on DevOps: Explore the concept of continuous delivery and integrate it with data science concepts,Packt Publishing,Sricharan Vadapalli,2017
Data science and machine learning. Mathematical and statistical methods,Chapman & Hall/CRC,"Botev, Zdravko I., Kroese, Dirk P., Taimre, Thomas, Vaisman, Radislav",2020
Statistics: The Art and Science of Learning From Data,Pearson,"Alan Agresti, Christine A. Franklin, Bernhard Klingenberg",2017
Modeling Techniques in Predictive Analytics with Python and R: A Guide to Data Science,PH Professional Business,Thomas W. Miller [Thomas W. Miller],2014
"AI for Data Science: Artificial Intelligence Frameworks and Functionality for Deep Learning, Optimization, and Beyond",Technics Publications,"Zacharias Voulgaris PhD & Yunus Emrah Bulut [Voulgaris, Zacharias PhD & Bulut, Yunus Emrah]",2018
Machine Learning: The complete Math Guide to Master Data Science with Python and Developing Artificial Intelligence,nan,"Algore, Matt",2021
"Data Science at the Command Line: Obtain, Scrub, Explore, and Model Data with Unix Power Tools",O'Reilly Media,Jeroen Janssens,2021
"Numerical Python: Scientific Computing and Data Science Applications with Numpy, SciPy and Matplotlib",Apress,Robert Johansson,2019
"Thoughtful Data Science: A Programmer’s Toolset for Data Analysis and Artificial Intelligence with Python, Jupyter Notebook, and PixieDust",Packt Publishing,David Taieb,2018
"Python For Data Analysis: The Ultimate and Definitive Manual to Learn Data Science and Coding With Python. Master The basics of Machine Learning, to Clean Code and Improve Artificial Intelligence",nan,"Algore, Matt",2021
Introduction to Statistical and Machine Learning Methods for Data Science,SAS Institute,"Dr. Carlos Andre Reis Andre Reis Pinheiro, Mike Patetta",2021
Machine Learning with Python: A Step by Step Guide for Absolute Beginners to Program Artificial Intelligence with Python. Neural Networks and Data Science from Pre-Processing to Deep Learning,nan,"CODING, MARK",2020
Data Science at the Command Line,O’Reilly,Jeroen Janssens,2015
Python Data Science Handbook: Essential Tools for Working with Data,O’Reilly Media,Jake VanderPlas,2016
Starting Out with Java: From Control Structures through Data Structures (What's New in Computer Science),Pearson,"Gaddis, Tony, Muganda, Godfrey",2018
Effective Data Science Infrastructure: How to make data scientists productive (MEAP v07),Manning Publications,Ville Tuulos,2022
Data Science and Analytics with Python,Chapman and Hall/CRC,Jesus Rogel-Salazar,2017
"Intro to Python for Computer Science and Data Science: Learning to Program with AI, Big Data and The Cloud",Pearson,Paul J. Deitel & Harvey M. Deitel [Paul J. Deitel],2019
Essential Math for Data Science,"O'Reilly Media, Inc.",Thomas Nield,2022
"Analytics, Data Science, & Artificial Intelligence: Systems for Decision Support (11th Edition)",Pearson,"Ramesh Sharda, Dursun Delen, Efraim Turban",2019
Data Science for Business: What you need to know about data mining and data-analytic thinking,O'Reilly Media,"Foster Provost, Tom Fawcett",2013
Machine Learning Algorithms - Popular algorithms for data science and machine learning,Packt Publishing,Giuseppe Bonaccorso,2018
"Machine Learning for Signal Processing: Data Science, Algorithms, and Computational Statistics","Oxford University Press, USA",Max A. Little,2019
An Introduction to Data Science,"SAGE Publications, Inc","Jeffrey S. Saltz, Jeffrey M. Stanton",2017
The Essentials of Data Science: Knowledge Discovery Using R,"Chapman and Hall/CRC;Chapman & Hall, Williams, Graham",Graham J. Williams,2017
Practical Data Science with Python: Learn tools and techniques from hands-on examples to extract insights from data,Packt Publishing,"George, Nathan",2021
A collection of Advanced Data Science and Machine Learning Interview Questions Solved in Python and Spark  (II): Hands-on Big Data and Machine ... Programming Interview Questions) (Volume 7),CreateSpace Independent Publishing Platform,Dr Antonio Gulli,2015
Jupyter for Data Science,Packt Publishing,Dan Toomey,2017
Data Science in Education Using R,Routledge,"Ryan A. Estrellado, Emily A. Freer",2021
"Managing Your Data Science Projects: Learn Salesmanship, Presentation, and Maintenance of Completed Models",Apress,Robert de Graaf,2019
Data Analysis and Machine Learning with Kaggle: How to win competitions on Kaggle and build a successful career in data science,Packt Publishing - ebooks Account,Konrad Banachewicz,2021
"Python: 6 Books in 1:  The Ultimate Bible to Learn Python Programming for a Career in Machine Learning, Data Science &  Web Development.",nan,"Soranson, Oliver",2020
Handbook of Computational Statistics and Data Science,Wiley,"Walter W. Piegorsch, Richard F. Levine, Hao Helen Zhang, Thomas C. M. Lee",2022
Introduction to Statistical Data Analysis for the Life Sciences,CRC Press,"Claus Thorn Ekstrøm, Helle Sørensen",2014
Business Analytics: The Science of Data-driven Decision Making,Wiley,U. Dinesh Kumar,2017
"Python Programming: The Complete Guide to Learn Python for Data Science, AI, Machine Learning, GUI and More With Practical Exercises and Interview Questions",nan,Nicholas Ayden,2019
Big Data Meets Survey Science: A Collection of Innovative Methods,Wiley,"Craig A. Hill (editor), Paul P. Biemer (editor), Trent D. Buskirk (editor), Lilli Japec (editor), Antje Kirchner (editor), Stas Kolenikov (editor), Lars E. Lyberg (editor)",2021
Data Science and Data Analytics,CRC Press (Unlimited),"Amit Kumar Tyagi, ",2022
